tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;Total ;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;punto;term;rec;ron;multi;saldo anterior 
21538;05/02/2021;28/02/2021;80008;0;0;3992;84000;;;due;12943;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;59000
21539;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12944;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21540;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12945;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21541;05/02/2021;28/02/2021;-1833;0;0;0;-1833;Cash;;paid;12946;26;;2;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Suspendido;0;-56833
21542;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12947;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21543;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12948;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21544;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;12949;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21545;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12950;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21546;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12951;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21547;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;12952;26;;2;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Suspendido;0;0
21548;05/02/2021;28/02/2021;71008;0;0;3992;75000;;;due;12953;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;50000
21549;05/02/2021;28/02/2021;21357;0;0;0;21357;;;due;12954;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-3643
21550;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;12955;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;35000
21551;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12956;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21552;05/02/2021;28/02/2021;51008;0;0;3992;55000;;;due;12957;26;;2;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Suspendido;0;0
21553;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12958;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21554;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12959;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21555;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12960;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21556;05/02/2021;28/02/2021;104008;0;0;3992;108000;;;due;12961;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;83000
21557;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12962;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21558;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12963;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
